Pokemon_ID,Name,Type,HP,Attack,Defense,Speed,Legendary
164,Noctowl,Normal,100,50,50,70,False
165,Ledyba,Bug,40,20,30,55,False
166,Ledian,Bug,55,35,50,85,False
167,Spinarak,Bug,40,60,40,30,False
168,Ariados,Bug,70,90,70,40,False
169,Crobat,Poison,85,90,80,130,False
170,Chinchou,Water,75,38,38,67,False
171,Lanturn,Water,125,58,58,67,False
172,Pichu,Electric,20,40,15,60,False
173,Cleffa,Fairy,50,25,28,15,False
174,Igglybuff,Normal,90,30,15,15,False
175,Togepi,Fairy,35,20,65,20,False
176,Togetic,Fairy,55,40,85,40,False
177,Natu,Psychic,40,50,45,70,False
178,Xatu,Psychic,65,75,70,95,False
179,Mareep,Electric,55,40,40,35,False
180,Flaaffy,Electric,70,55,55,45,False
181,Ampharos,Electric,90,75,85,55,False
181,AmpharosMega Ampharos,Electric,90,95,105,45,False
182,Bellossom,Grass,75,80,95,50,False
183,Marill,Water,70,20,50,40,False
184,Azumarill,Water,100,50,80,50,False
185,Sudowoodo,Rock,70,100,115,30,False
186,Politoed,Water,90,75,75,70,False
187,Hoppip,Grass,35,35,40,50,False
188,Skiploom,Grass,55,45,50,80,False
189,Jumpluff,Grass,75,55,70,110,False
190,Aipom,Normal,55,70,55,85,False
191,Sunkern,Grass,30,30,30,30,False
192,Sunflora,Grass,75,75,55,30,False
193,Yanma,Bug,65,65,45,95,False
194,Wooper,Water,55,45,45,15,False
195,Quagsire,Water,95,85,85,35,False
196,Espeon,Psychic,65,65,60,110,False
197,Umbreon,Dark,95,65,110,65,False
198,Murkrow,Dark,60,85,42,91,False
199,Slowking,Water,95,75,80,30,False
200,Misdreavus,Ghost,60,60,60,85,False
201,Unown,Psychic,48,72,48,48,False
202,Wobbuffet,Psychic,190,33,58,33,False
203,Girafarig,Normal,70,80,65,85,False
204,Pineco,Bug,50,65,90,15,False
205,Forretress,Bug,75,90,140,40,False
206,Dunsparce,Normal,100,70,70,45,False
207,Gligar,Ground,65,75,105,85,False
208,Steelix,Steel,75,85,200,30,False
208,SteelixMega Steelix,Steel,75,125,230,30,False
209,Snubbull,Fairy,60,80,50,30,False
210,Granbull,Fairy,90,120,75,45,False
211,Qwilfish,Water,65,95,75,85,False
212,Scizor,Bug,70,130,100,65,False
212,ScizorMega Scizor,Bug,70,150,140,75,False
213,Shuckle,Bug,20,10,230,5,False
214,Heracross,Bug,80,125,75,85,False
214,HeracrossMega Heracross,Bug,80,185,115,75,False
215,Sneasel,Dark,55,95,55,115,False
216,Teddiursa,Normal,60,80,50,40,False
217,Ursaring,Normal,90,130,75,55,False
218,Slugma,Fire,40,40,40,20,False
219,Magcargo,Fire,50,50,120,30,False
220,Swinub,Ice,50,50,40,50,False
221,Piloswine,Ice,100,100,80,50,False
222,Corsola,Water,55,55,85,35,False
223,Remoraid,Water,35,65,35,65,False
224,Octillery,Water,75,105,75,45,False
225,Delibird,Ice,45,55,45,75,False
226,Mantine,Water,65,40,70,70,False
227,Skarmory,Steel,65,80,140,70,False
228,Houndour,Dark,45,60,30,65,False
229,Houndoom,Dark,75,90,50,95,False
229,HoundoomMega Houndoom,Dark,75,90,90,115,False
230,Kingdra,Water,75,95,95,85,False
231,Phanpy,Ground,90,60,60,40,False
232,Donphan,Ground,90,120,120,50,False
233,Porygon2,Normal,85,80,90,60,False
234,Stantler,Normal,73,95,62,85,False
235,Smeargle,Normal,55,20,35,75,False
236,Tyrogue,Fighting,35,35,35,35,False
237,Hitmontop,Fighting,50,95,95,70,False
238,Smoochum,Ice,45,30,15,65,False
239,Elekid,Electric,45,63,37,95,False
240,Magby,Fire,45,75,37,83,False
241,Miltank,Normal,95,80,105,100,False
242,Blissey,Normal,255,10,10,55,False
243,Raikou,Electric,90,85,75,115,True
244,Entei,Fire,115,115,85,100,True
245,Suicune,Water,100,75,115,85,True
246,Larvitar,Rock,50,64,50,41,False
247,Pupitar,Rock,70,84,70,51,False
248,Tyranitar,Rock,100,134,110,61,False
248,TyranitarMega Tyranitar,Rock,100,164,150,71,False
249,Lugia,Psychic,106,90,130,110,True
250,Ho-oh,Fire,106,130,90,90,True
251,Celebi,Psychic,100,100,100,100,False
252,Treecko,Grass,40,45,35,70,False
253,Grovyle,Grass,50,65,45,95,False
254,Sceptile,Grass,70,85,65,120,False
254,SceptileMega Sceptile,Grass,70,110,75,145,False
255,Torchic,Fire,45,60,40,45,False
256,Combusken,Fire,60,85,60,55,False
257,Blaziken,Fire,80,120,70,80,False
257,BlazikenMega Blaziken,Fire,80,160,80,100,False
258,Mudkip,Water,50,70,50,40,False
259,Marshtomp,Water,70,85,70,50,False
260,Swampert,Water,100,110,90,60,False
260,SwampertMega Swampert,Water,100,150,110,70,False
261,Poochyena,Dark,35,55,35,35,False
262,Mightyena,Dark,70,90,70,70,False
263,Zigzagoon,Normal,38,30,41,60,False
264,Linoone,Normal,78,70,61,100,False
265,Wurmple,Bug,45,45,35,20,False
266,Silcoon,Bug,50,35,55,15,False
267,Beautifly,Bug,60,70,50,65,False
268,Cascoon,Bug,50,35,55,15,False
269,Dustox,Bug,60,50,70,65,False
270,Lotad,Water,40,30,30,30,False
271,Lombre,Water,60,50,50,50,False
272,Ludicolo,Water,80,70,70,70,False
273,Seedot,Grass,40,40,50,30,False
274,Nuzleaf,Grass,70,70,40,60,False
275,Shiftry,Grass,90,100,60,80,False
276,Taillow,Normal,40,55,30,85,False
277,Swellow,Normal,60,85,60,125,False
278,Wingull,Water,40,30,30,85,False
279,Pelipper,Water,60,50,100,65,False
280,Ralts,Psychic,28,25,25,40,False
281,Kirlia,Psychic,38,35,35,50,False
282,Gardevoir,Psychic,68,65,65,80,False
282,GardevoirMega Gardevoir,Psychic,68,85,65,100,False
283,Surskit,Bug,40,30,32,65,False
284,Masquerain,Bug,70,60,62,60,False
285,Shroomish,Grass,60,40,60,35,False
286,Breloom,Grass,60,130,80,70,False
287,Slakoth,Normal,60,60,60,30,False
288,Vigoroth,Normal,80,80,80,90,False
289,Slaking,Normal,150,160,100,100,False
290,Nincada,Bug,31,45,90,40,False
291,Ninjask,Bug,61,90,45,160,False
292,Shedinja,Bug,1,90,45,40,False
293,Whismur,Normal,64,51,23,28,False
294,Loudred,Normal,84,71,43,48,False
295,Exploud,Normal,104,91,63,68,False
296,Makuhita,Fighting,72,60,30,25,False
297,Hariyama,Fighting,144,120,60,50,False
298,Azurill,Normal,50,20,40,20,False
299,Nosepass,Rock,30,45,135,30,False
300,Skitty,Normal,50,45,45,50,False
301,Delcatty,Normal,70,65,65,70,False
302,Sableye,Dark,50,75,75,50,False
302,SableyeMega Sableye,Dark,50,85,125,20,False
303,Mawile,Steel,50,85,85,50,False
303,MawileMega Mawile,Steel,50,105,125,50,False
304,Aron,Steel,50,70,100,30,False
305,Lairon,Steel,60,90,140,40,False
306,Aggron,Steel,70,110,180,50,False
306,AggronMega Aggron,Steel,70,140,230,50,False
307,Meditite,Fighting,30,40,55,60,False
308,Medicham,Fighting,60,60,75,80,False
308,MedichamMega Medicham,Fighting,60,100,85,100,False
309,Electrike,Electric,40,45,40,65,False
310,Manectric,Electric,70,75,60,105,False
310,ManectricMega Manectric,Electric,70,75,80,135,False
311,Plusle,Electric,60,50,40,95,False
312,Minun,Electric,60,40,50,95,False
313,Volbeat,Bug,65,73,55,85,False
314,Illumise,Bug,65,47,55,85,False
315,Roselia,Grass,50,60,45,65,False
316,Gulpin,Poison,70,43,53,40,False
317,Swalot,Poison,100,73,83,55,False
318,Carvanha,Water,45,90,20,65,False
319,Sharpedo,Water,70,120,40,95,False
319,SharpedoMega Sharpedo,Water,70,140,70,105,False
320,Wailmer,Water,130,70,35,60,False
321,Wailord,Water,170,90,45,60,False
322,Numel,Fire,60,60,40,35,False
323,Camerupt,Fire,70,100,70,40,False
323,CameruptMega Camerupt,Fire,70,120,100,20,False
324,Torkoal,Fire,70,85,140,20,False
325,Spoink,Psychic,60,25,35,60,False
326,Grumpig,Psychic,80,45,65,80,False
327,Spinda,Normal,60,60,60,60,False
328,Trapinch,Ground,45,100,45,10,False
329,Vibrava,Ground,50,70,50,70,False
330,Flygon,Ground,80,100,80,100,False
331,Cacnea,Grass,50,85,40,35,False
332,Cacturne,Grass,70,115,60,55,False
333,Swablu,Normal,45,40,60,50,False
334,Altaria,Dragon,75,70,90,80,False
334,AltariaMega Altaria,Dragon,75,110,110,80,False
335,Zangoose,Normal,73,115,60,90,False
336,Seviper,Poison,73,100,60,65,False
337,Lunatone,Rock,70,55,65,70,False
338,Solrock,Rock,70,95,85,70,False
339,Barboach,Water,50,48,43,60,False
340,Whiscash,Water,110,78,73,60,False
341,Corphish,Water,43,80,65,35,False
342,Crawdaunt,Water,63,120,85,55,False
343,Baltoy,Ground,40,40,55,55,False
344,Claydol,Ground,60,70,105,75,False
345,Lileep,Rock,66,41,77,23,False
346,Cradily,Rock,86,81,97,43,False
347,Anorith,Rock,45,95,50,75,False
348,Armaldo,Rock,75,125,100,45,False
349,Feebas,Water,20,15,20,80,False
350,Milotic,Water,95,60,79,81,False
351,Castform,Normal,70,70,70,70,False
352,Kecleon,Normal,60,90,70,40,False
353,Shuppet,Ghost,44,75,35,45,False
354,Banette,Ghost,64,115,65,65,False
354,BanetteMega Banette,Ghost,64,165,75,75,False
355,Duskull,Ghost,20,40,90,25,False
356,Dusclops,Ghost,40,70,130,25,False
357,Tropius,Grass,99,68,83,51,False
358,Chimecho,Psychic,65,50,70,65,False
359,Absol,Dark,65,130,60,75,False
359,AbsolMega Absol,Dark,65,150,60,115,False
360,Wynaut,Psychic,95,23,48,23,False
361,Snorunt,Ice,50,50,50,50,False
362,Glalie,Ice,80,80,80,80,False
362,GlalieMega Glalie,Ice,80,120,80,100,False
363,Spheal,Ice,70,40,50,25,False
364,Sealeo,Ice,90,60,70,45,False
365,Walrein,Ice,110,80,90,65,False
366,Clamperl,Water,35,64,85,32,False
367,Huntail,Water,55,104,105,52,False
368,Gorebyss,Water,55,84,105,52,False
369,Relicanth,Water,100,90,130,55,False
370,Luvdisc,Water,43,30,55,97,False
371,Bagon,Dragon,45,75,60,50,False
372,Shelgon,Dragon,65,95,100,50,False
373,Salamence,Dragon,95,135,80,100,False
373,SalamenceMega Salamence,Dragon,95,145,130,120,False
374,Beldum,Steel,40,55,80,30,False
375,Metang,Steel,60,75,100,50,False
376,Metagross,Steel,80,135,130,70,False
376,MetagrossMega Metagross,Steel,80,145,150,110,False
377,Regirock,Rock,80,100,200,50,True
378,Regice,Ice,80,50,100,50,True
379,Registeel,Steel,80,75,150,50,True
380,Latias,Dragon,80,80,90,110,True
380,LatiasMega Latias,Dragon,80,100,120,110,True
381,Latios,Dragon,80,90,80,110,True
381,LatiosMega Latios,Dragon,80,130,100,110,True
382,Kyogre,Water,100,100,90,90,True
382,KyogrePrimal Kyogre,Water,100,150,90,90,True
383,Groudon,Ground,100,150,140,90,True
383,GroudonPrimal Groudon,Ground,100,180,160,90,True
384,Rayquaza,Dragon,105,150,90,95,True
384,RayquazaMega Rayquaza,Dragon,105,180,100,115,True
385,Jirachi,Steel,100,100,100,100,True
386,DeoxysNormal Forme,Psychic,50,150,50,150,True
386,DeoxysAttack Forme,Psychic,50,180,20,150,True
386,DeoxysDefense Forme,Psychic,50,70,160,90,True
386,DeoxysSpeed Forme,Psychic,50,95,90,180,True
387,Turtwig,Grass,55,68,64,31,False
388,Grotle,Grass,75,89,85,36,False
389,Torterra,Grass,95,109,105,56,False
390,Chimchar,Fire,44,58,44,61,False
391,Monferno,Fire,64,78,52,81,False
392,Infernape,Fire,76,104,71,108,False
393,Piplup,Water,53,51,53,40,False
394,Prinplup,Water,64,66,68,50,False
395,Empoleon,Water,84,86,88,60,False
396,Starly,Normal,40,55,30,60,False
397,Staravia,Normal,55,75,50,80,False
398,Staraptor,Normal,85,120,70,100,False
399,Bidoof,Normal,59,45,40,31,False
400,Bibarel,Normal,79,85,60,71,False
401,Kricketot,Bug,37,25,41,25,False
402,Kricketune,Bug,77,85,51,65,False
403,Shinx,Electric,45,65,34,45,False
404,Luxio,Electric,60,85,49,60,False
405,Luxray,Electric,80,120,79,70,False
406,Budew,Grass,40,30,35,55,False
407,Roserade,Grass,60,70,65,90,False
408,Cranidos,Rock,67,125,40,58,False
409,Rampardos,Rock,97,165,60,58,False
410,Shieldon,Rock,30,42,118,30,False
411,Bastiodon,Rock,60,52,168,30,False
412,Burmy,Bug,40,29,45,36,False
413,WormadamPlant Cloak,Bug,60,59,85,36,False
413,WormadamSandy Cloak,Bug,60,79,105,36,False
413,WormadamTrash Cloak,Bug,60,69,95,36,False
414,Mothim,Bug,70,94,50,66,False
415,Combee,Bug,30,30,42,70,False
416,Vespiquen,Bug,70,80,102,40,False
417,Pachirisu,Electric,60,45,70,95,False
418,Buizel,Water,55,65,35,85,False
419,Floatzel,Water,85,105,55,115,False
420,Cherubi,Grass,45,35,45,35,False
421,Cherrim,Grass,70,60,70,85,False
422,Shellos,Water,76,48,48,34,False
423,Gastrodon,Water,111,83,68,39,False
424,Ambipom,Normal,75,100,66,115,False
425,Drifloon,Ghost,90,50,34,70,False
426,Drifblim,Ghost,150,80,44,80,False
427,Buneary,Normal,55,66,44,85,False
428,Lopunny,Normal,65,76,84,105,False
428,LopunnyMega Lopunny,Normal,65,136,94,135,False
429,Mismagius,Ghost,60,60,60,105,False
430,Honchkrow,Dark,100,125,52,71,False
431,Glameow,Normal,49,55,42,85,False
432,Purugly,Normal,71,82,64,112,False
433,Chingling,Psychic,45,30,50,45,False
434,Stunky,Poison,63,63,47,74,False
435,Skuntank,Poison,103,93,67,84,False
436,Bronzor,Steel,57,24,86,23,False
437,Bronzong,Steel,67,89,116,33,False
438,Bonsly,Rock,50,80,95,10,False
439,Mime Jr.,Psychic,20,25,45,60,False
440,Happiny,Normal,100,5,5,30,False
441,Chatot,Normal,76,65,45,91,False
442,Spiritomb,Ghost,50,92,108,35,False
443,Gible,Dragon,58,70,45,42,False
444,Gabite,Dragon,68,90,65,82,False
445,Garchomp,Dragon,108,130,95,102,False
445,GarchompMega Garchomp,Dragon,108,170,115,92,False
446,Munchlax,Normal,135,85,40,5,False
447,Riolu,Fighting,40,70,40,60,False
448,Lucario,Fighting,70,110,70,90,False
448,LucarioMega Lucario,Fighting,70,145,88,112,False
449,Hippopotas,Ground,68,72,78,32,False
450,Hippowdon,Ground,108,112,118,47,False
451,Skorupi,Poison,40,50,90,65,False
452,Drapion,Poison,70,90,110,95,False
453,Croagunk,Poison,48,61,40,50,False
454,Toxicroak,Poison,83,106,65,85,False
455,Carnivine,Grass,74,100,72,46,False
456,Finneon,Water,49,49,56,66,False
457,Lumineon,Water,69,69,76,91,False
458,Mantyke,Water,45,20,50,50,False
459,Snover,Grass,60,62,50,40,False
460,Abomasnow,Grass,90,92,75,60,False
460,AbomasnowMega Abomasnow,Grass,90,132,105,30,False
461,Weavile,Dark,70,120,65,125,False
462,Magnezone,Electric,70,70,115,60,False
463,Lickilicky,Normal,110,85,95,50,False
464,Rhyperior,Ground,115,140,130,40,False
465,Tangrowth,Grass,100,100,125,50,False
466,Electivire,Electric,75,123,67,95,False
467,Magmortar,Fire,75,95,67,83,False
468,Togekiss,Fairy,85,50,95,80,False
469,Yanmega,Bug,86,76,86,95,False
470,Leafeon,Grass,65,110,130,95,False
471,Glaceon,Ice,65,60,110,65,False
472,Gliscor,Ground,75,95,125,95,False
473,Mamoswine,Ice,110,130,80,80,False
474,Porygon-Z,Normal,85,80,70,90,False
475,Gallade,Psychic,68,125,65,80,False
475,GalladeMega Gallade,Psychic,68,165,95,110,False
476,Probopass,Rock,60,55,145,40,False
477,Dusknoir,Ghost,45,100,135,45,False
478,Froslass,Ice,70,80,70,110,False
479,Rotom,Electric,50,50,77,91,False
479,RotomHeat Rotom,Electric,50,65,107,86,False
479,RotomWash Rotom,Electric,50,65,107,86,False
479,RotomFrost Rotom,Electric,50,65,107,86,False
479,RotomFan Rotom,Electric,50,65,107,86,False
479,RotomMow Rotom,Electric,50,65,107,86,False
480,Uxie,Psychic,75,75,130,95,True
481,Mesprit,Psychic,80,105,105,80,True
482,Azelf,Psychic,75,125,70,115,True
483,Dialga,Steel,100,120,120,90,True
484,Palkia,Water,90,120,100,100,True
485,Heatran,Fire,91,90,106,77,True
486,Regigigas,Normal,110,160,110,100,True
487,GiratinaAltered Forme,Ghost,150,100,120,90,True
487,GiratinaOrigin Forme,Ghost,150,120,100,90,True
488,Cresselia,Psychic,120,70,120,85,False
489,Phione,Water,80,80,80,80,False
490,Manaphy,Water,100,100,100,100,False
491,Darkrai,Dark,70,90,90,125,True
492,ShayminLand Forme,Grass,100,100,100,100,True
492,ShayminSky Forme,Grass,100,103,75,127,True
493,Arceus,Normal,120,120,120,120,True
494,Victini,Psychic,100,100,100,100,True
495,Snivy,Grass,45,45,55,63,False
496,Servine,Grass,60,60,75,83,False
497,Serperior,Grass,75,75,95,113,False
498,Tepig,Fire,65,63,45,45,False
499,Pignite,Fire,90,93,55,55,False
500,Emboar,Fire,110,123,65,65,False
501,Oshawott,Water,55,55,45,45,False
502,Dewott,Water,75,75,60,60,False
503,Samurott,Water,95,100,85,70,False
504,Patrat,Normal,45,55,39,42,False
505,Watchog,Normal,60,85,69,77,False
506,Lillipup,Normal,45,60,45,55,False
507,Herdier,Normal,65,80,65,60,False
508,Stoutland,Normal,85,110,90,80,False
509,Purrloin,Dark,41,50,37,66,False
510,Liepard,Dark,64,88,50,106,False
511,Pansage,Grass,50,53,48,64,False
512,Simisage,Grass,75,98,63,101,False
513,Pansear,Fire,50,53,48,64,False
514,Simisear,Fire,75,98,63,101,False
515,Panpour,Water,50,53,48,64,False
516,Simipour,Water,75,98,63,101,False
517,Munna,Psychic,76,25,45,24,False
518,Musharna,Psychic,116,55,85,29,False
519,Pidove,Normal,50,55,50,43,False
520,Tranquill,Normal,62,77,62,65,False
521,Unfezant,Normal,80,115,80,93,False
522,Blitzle,Electric,45,60,32,76,False
523,Zebstrika,Electric,75,100,63,116,False
524,Roggenrola,Rock,55,75,85,15,False
525,Boldore,Rock,70,105,105,20,False
526,Gigalith,Rock,85,135,130,25,False
527,Woobat,Psychic,55,45,43,72,False
528,Swoobat,Psychic,67,57,55,114,False
529,Drilbur,Ground,60,85,40,68,False
530,Excadrill,Ground,110,135,60,88,False
531,Audino,Normal,103,60,86,50,False
531,AudinoMega Audino,Normal,103,60,126,50,False
532,Timburr,Fighting,75,80,55,35,False
533,Gurdurr,Fighting,85,105,85,40,False
534,Conkeldurr,Fighting,105,140,95,45,False
535,Tympole,Water,50,50,40,64,False
536,Palpitoad,Water,75,65,55,69,False
537,Seismitoad,Water,105,95,75,74,False
538,Throh,Fighting,120,100,85,45,False
539,Sawk,Fighting,75,125,75,85,False
540,Sewaddle,Bug,45,53,70,42,False
541,Swadloon,Bug,55,63,90,42,False
542,Leavanny,Bug,75,103,80,92,False
543,Venipede,Bug,30,45,59,57,False
544,Whirlipede,Bug,40,55,99,47,False
545,Scolipede,Bug,60,100,89,112,False
546,Cottonee,Grass,40,27,60,66,False
547,Whimsicott,Grass,60,67,85,116,False
548,Petilil,Grass,45,35,50,30,False
549,Lilligant,Grass,70,60,75,90,False
550,Basculin,Water,70,92,65,98,False
551,Sandile,Ground,50,72,35,65,False
552,Krokorok,Ground,60,82,45,74,False
553,Krookodile,Ground,95,117,80,92,False
554,Darumaka,Fire,70,90,45,50,False
555,DarmanitanStandard Mode,Fire,105,140,55,95,False
555,DarmanitanZen Mode,Fire,105,30,105,55,False
556,Maractus,Grass,75,86,67,60,False
557,Dwebble,Bug,50,65,85,55,False
558,Crustle,Bug,70,95,125,45,False
559,Scraggy,Dark,50,75,70,48,False
560,Scrafty,Dark,65,90,115,58,False
561,Sigilyph,Psychic,72,58,80,97,False
