Department,Job_Title,Hourly_Rate
Parks Department,"Gardener,Sr",29.58
Dept of Finance & Admn Svc,"Capital Prjts Coord,Sr",49.55
Seattle Public Utilities,Grants&Contracts Spec,33.16
Seattle Center,Stage Tech *,30.42
Parks Department,Facilities Maint Wkr,28.77
Parks Department,"Gardener,Asst *",21.99
Parks Department,Constr&Maint Equip Op,33.1
Fire Department,Fireboat Engr-90.46 Hrs,53.4
Parks Department,Laborer,22.95
Dept of Finance & Admn Svc,Info Technol Prof B-BU,54.05
City Light,"Enrgy Mgmt Anlyst,Asst",42.0
Police Department,Pol Ofcr-Detective,50.38
Fire Department,Fire Capt-90.46 Hrs,52.68
Parks Department,Work Trng Enrollee *,15.0
Parks Department,Rec Leader *,17.52
City Light,"Civil Engr,Sr",56.96
Seattle Public Utilities,Opns Response Cntr Op,32.55
City Light,Cblspl CC-Net Area,50.54
Fire Department,Fireftr-MU-90.46 Hrs,42.9
Police Department,Admin Spec II-BU,25.39
Parks Department,Rec Leader,19.3
Parks Department,Grounds Maint Lead Wkr,28.77
Dept of Finance & Admn Svc,StratAdvsr1 *,39.27
City Light,Lnwkr,46.27
Fire Department,Fire Lieut-90.46 Hrs,46.49
Seattle Center,Usher *,15.68
Immigrant & Refugee Affairs,"StratAdvsr1,Exempt",37.04
Seattle Information Technology,Cooperative Intern *,16.12
Neighborhoods Department,Com Dev Spec,39.4
City Light,Cooperative Intern *,16.12
Dept of Finance & Admn Svc,Cust Svc Rep,23.89
Parks Department,Rec Attendant *,15.68
Dept of Education & Early Lrng,Admin Staff Asst,31.93
Seattle Public Utilities,Drainage&Wstwtr Lead Wkr CII,34.22
Fire Department,Fireftr-Ap Drvr-90.46,42.18
Parks Department,Lifeguard *,16.47
City Light,Hydroelec Maint Mach,44.31
Seattle Information Technology,Info Technol Prof C-BU,48.55
Seattle Public Utilities,"Plng&Dev Spec,Sr",46.8
Office of Economic Development,"Com Dev Spec,Sr",45.11
Parks Department,Metal Fabricator,35.33
Seattle Public Utilities,"Capital Prjts Coord,Sr",47.7
Police Department,Pol Ofcr- Student,33.16
Planning and Community Develop,"Plng&Dev Spec,Sr",46.8
Neighborhoods Department,Neighb District Coord,40.93
Seattle Public Utilities,"StratAdvsr2,Utils",49.0
Seattle Public Utilities,Info Technol Prof C-BU,41.87
Seattle Information Technology,Info Technol Prof B-BU *,52.06
City Light,"Elecl Engr,Asst II",35.97
Seattle Center,Usher *,15.68
City Light,"StratAdvsr1,Utils",41.67
Fire Department,Admin Spec II-BU,26.45
Seattle Public Utilities,Info Technol Prof B-BU,45.54
City Light,Lnwkr,46.27
Seattle Public Utilities,"Civil Engr,Sr",56.96
Seattle Public Utilities,Disposal CC I,36.83
Dept of Finance & Admn Svc,Metal Fabricator CC,37.53
Seattle Information Technology,Info Technol Prof B-BU,55.61
Seattle Center,Stage Tech *,30.42
Seattle Public Utilities,Info Technol Prof B-BU,45.54
Seattle Public Utilities,Student Engr Intern *,21.03
Fire Department,Fireftr-MU Ap Drvr-90.46 Hrs,43.98
Police Department,Pol Ofcr,38.6
Seattle Public Utilities,Drainage&Wstwtr Coll CC,39.86
Seattle Center,"Capital Prjts Coord,Sr",49.55
City Light,"Elecl Engr,Asst III",41.99
City Light,Actg Tech III-BU,29.09
Parks Department,Work Trng Enrollee *,15.0
Seattle Dept of Transportation,Street Paving CC,35.54
Mayor's Office,"StratAdvsr3,Exempt",61.36
City Light,Cblspl-Net Area,44.92
Police Department,Pol Sgt-Motorcycle,56.44
City Light,Meter Elctn Working CC,50.54
City Light,"MatSup,Elec-Asg Cs &/or Cdt",33.9
Seattle Dept of HumanResources,"StratAdvsr1,Exempt",47.57
Seattle Dept of Transportation,Civil Engr Supv,61.41
Police Department,Pol Sgt-Patrl,48.37
Fire Department,Fire Capt-Trng Div-80 Hrs,63.43
Fire Department,Fireftr-Ap Drvr-90.46,40.39
Dept of Finance & Admn Svc,"StratAdvsr2,Exempt",55.37
Dept of Finance & Admn Svc,Equip Svcr,26.66
Parks Department,Rec Attendant *,15.68
Police Department,Pol Sgt-Patrl,53.7
City Light,Elctn-Con,44.92
Fire Department,Fire Lieut-90.46 Hrs,45.77
City Light,Elctn-Con,44.92
City Light,Comms Elctn II,45.77
Police Department,Pol Ofcr-Detective,46.91
City Light,Cust Svc Rep,26.75
Seattle Center,Parking Attendant *,18.54
Seattle Dept of Transportation,Carpenter CC,36.26
Seattle Public Utilities,Wtr Pipe Wkr Sr-WDM II,36.53
Parks Department,Rec Attendant *,15.68
Seattle Public Utilities,Drainage&Wstwtr Coll Wkr,29.92
Seattle Public Utilities,"Elecl Engr,Sr",56.96
Seattle Center,Stage Tech *,30.42
City Light,"MatSup,Elec-Asg Cs &/or Cdt",33.9
Dept of Finance & Admn Svc,"StratAdvsr2,General Govt",50.57
Seattle Center,Security Ofcr,23.95
Fire Department,Fireftr-Ap Drvr-90.46,38.95
Seattle Public Utilities,Actg Tech II-BU,26.45
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Police Department,Pol Ofcr-Non Patrol,48.42
City Light,"Plng&Dev Spec,Sr",46.8
Parks Department,Rec Attendant *,15.68
Seattle Information Technology,Info Technol Prof A *,56.08
City Light,"Accountant,Prin",43.23
Planning and Community Develop,"Plng&Dev Spec,Sr",41.77
Police Department,Pol Recruit,28.21
Police Department,Pol Ofcr- Student,33.16
City Light,Executive3,57.42
Fire Department,Fireftr-90.46 Hrs,31.78
Seattle Information Technology,"Info Technol Prof A,Exempt",65.68
Police Department,Pol Ofcr,43.43
Parks Department,Parks Maint CC,39.13
Seattle Dept of Const and Insp,"StratAdvsr2,Engrng&Plans Rev",53.62
Seattle Center,Laborer *,21.6
Police Department,Pol Ofcr,38.6
Parks Department,Rec Attendant,15.96
City Light,Cust Svc Rep *,23.89
Parks Department,Maint Laborer,25.39
Fire Department,Fireftr-90.46 Hrs,37.88
City Light,Lnwkr,46.27
Seattle Dept of Transportation,Admin Spec II-BU *,23.63
Seattle Information Technology,Info Technol Prof C-BU,44.51
Seattle Information Technology,Info Technol Prof B-BU,55.61
Dept of Finance & Admn Svc,StratAdvsr2 *,59.4
Parks Department,Lifeguard *,16.47
Seattle Dept of Transportation,Bridge Maint Mech Hlpr,25.82
City Light,Elecl Svc Engr,50.83
City Light,Util Constr Wkr,28.99
Seattle Public Utilities,Personnel Spec,33.83
Seattle Center,Parking Attendant *,18.54
Fire Department,Fireftr-Prev Insp I-80 Hrs,50.34
City Light,"Capital Prjts Coord,Sr",53.43
Seattle Center,Security Ofcr,24.75
City Light,Rights-Of-Way Maint Wkr,29.88
Seattle Public Utilities,Security Prgms Spec,36.58
City Light,Elctn-Con,44.92
Fire Department,Fireftr-90.46 Hrs,40.39
Parks Department,"Lifeguard,Sr",21.57
City Light,Personnel Spec,33.83
Seattle Information Technology,Info Technol Prof B-BU *,52.26
Human Services,Yth Emplmnt Enrollee-Sum *,15.0
Planning and Community Develop,Executive3,82.01
Police Department,Pol Ofcr-Patrl,44.95
Human Services,Admin Spec I-BU,24.5
Seattle Center,Actg Tech II-BU *,23.9
Seattle Dept of Transportation,"Civil Engrng Spec,Assoc",38.67
Seattle Dept of Transportation,Cement Finisher,30.67
Seattle Public Utilities,"StratAdvsr2,Utils",60.59
Parks Department,Work Trng Enrollee *,15.0
Office of Economic Development,"StratAdvsr3,Exempt",56.07
Human Services,"Grants&Contracts Spec,Sr",35.93
Seattle Dept of Transportation,Engrng Aide,29.21
Seattle Public Utilities,Scale Attendant,21.99
Police Department,Pol Recruit,28.21
Seattle Public Utilities,"StratAdvsr1,Exempt",47.66
Seattle Public Utilities,Pntr CC,37.73
Office for Civil Rights,Admin Spec III-BU,28.51
Seattle Center,Janitor-SC/Parks/SPU *,19.53
City Light,Enrgy Plng Supv-BU,47.81
Police Department,"Pol Comms Dispatcher,Chief",43.95
Seattle Information Technology,Info Technol Prof B-BU,50.08
Seattle Public Utilities,Pmp Stat Maint Wkr,26.14
Fire Department,Fire Lieut-MU-90.46 Hrs,45.77
Police Department,Parking Enf Ofcr,27.98
Police Department,Pol Ofcr-Patrl,46.68
Police Department,Pol Ofcr,37.18
Parks Department,Tennis Instructor *,21.49
Dept of Finance & Admn Svc,Janitorial CC-FAS,26.84
Fire Department,Fire Capt-90.46 Hrs,53.4
Seattle Information Technology,"StratAdvsr2,Exempt",52.31
Seattle Public Utilities,"Civil Engrng Spec,Asst III",39.67
Fire Department,Fireftr-Ap Drvr-90.46,43.62
City Light,Lnwkr,46.27
Police Department,Admin Support Supv-BU,30.17
City Auditor,Exec Asst,46.8
Seattle Public Utilities,"Mgmt Systs Anlyst,Sr",41.77
Police Department,Pol Ofcr-Patrl,48.86
Seattle Dept of Transportation,Muni Government Intern *,19.76
Dept of Finance & Admn Svc,Warehouser-BU,25.15
Seattle Center,Stage Tech *,30.42
Seattle Center,Stage Tech *,30.42
Parks Department,Work Trng Enrollee *,15.0
City Light,"Mat Suplr,Elec-Asg Phd/Cw/D",37.08
City Employees Retirement Syst,Info Technol Prof A *,51.72
City Light,Actg Tech III-BU,29.09
Seattle Dept of Transportation,"Civil Engrng Spec,Asst I",30.62
City Light,Admin Spec II-BU,26.45
Fire Department,Fire Lieut-Prev Inspector I,57.24
Parks Department,Maint Laborer,25.39
City Light,Pwr Dispatcher,54.42
Human Services,Grants&Contracts Spec,29.58
City Light,"Manager3,Exempt-BU",55.95
Police Department,Pol Ofcr-Patrl,44.95
City Light,"Manager2,CSPI&P-BU",54.26
City Light,Student Engr *,21.03
Seattle Dept of Transportation,"Civil Engrng Spec,Sr",48.84
Seattle Information Technology,Info Technol Prof B-BU *,47.05
Seattle Center,Laborer *,21.6
Seattle Information Technology,StratAdvsr1 *,40.55
Human Services,Admin Support Asst-BU *,19.93
Parks Department,Maint Laborer,25.39
Seattle Dept of Transportation,Executive3,78.54
Seattle Center,Stage Tech *,30.42
Fire Department,Fireftr-Dispatcher-84 Hrs,48.71
Seattle Center,Usher *,15.68
Seattle Public Utilities,Student Engr Intern *,21.03
Human Services,Counslr *,28.51
Seattle Dept of Transportation,"Civil Engrng Spec,Sr",45.36
Police Department,"Photographer,Sr",35.6
Seattle Public Utilities,"Civil Engr,Sr",48.92
Office of Economic Development,"StratAdvsr2,Exempt",49.34
Seattle Center,Gardener,26.45
Police Department,Pol Ofcr- Student,35.56
Parks Department,Rec Attendant *,15.68
Parks Department,Rec Attendant *,15.68
Fire Department,Fireftr-90.46 Hrs,35.36
Fire Department,Fireftr-Ap Drvr-90.46,42.9
Seattle Dept of Const and Insp,"Elecl Inspector,Sr(Expert)",46.75
Police Department,Pol Ofcr,43.43
Dept of Finance & Admn Svc,Auto Mechanic,34.93
Parks Department,Rec Attendant *,15.68
Police Department,Pol Ofcr-Patrl,44.95
Seattle Center,Stage Tech *,30.42
Seattle Dept of Transportation,"Civil Engr,Sr",56.96
Dept of Finance & Admn Svc,"Contract Anlyst,Sr",39.4
Police Department,Victim Advocate,33.16
Parks Department,Maint Laborer,25.39
City Budget Office,"StratAdvsr2,Exempt",45.82
Seattle Dept of Const and Insp,Land Use Plnr II,42.35
Seattle Center,Stage Tech *,30.42
Parks Department,Rec Cntr Coord,35.31
Seattle Center,Actg Tech II-BU *,24.5
Fire Department,Fireftr-Ap Drvr-90.46,43.62
Seattle Public Utilities,Wtrshed Opns Supv,43.38
Parks Department,Lifeguard *,16.47
Seattle Information Technology,Info Technol Prof B-BU,51.93
Dept of Finance & Admn Svc,StratAdvsr1 *,48.18
Parks Department,"Manager3,Parks&Rec",58.14
Parks Department,Lifeguard *,16.47
Parks Department,Maint Laborer,25.39
Police Department,Pol Ofcr,38.6
Parks Department,Rec Prgm Coord,35.16
Police Department,Pol Ofcr,37.18
Police Department,Pol Ofcr,35.56
Parks Department,Work Trng Enrollee *,15.0
Fire Department,Fireftr-Ap Drvr-90.46,42.18
Police Department,Pol Ofcr-Patrl,49.29
Parks Department,Work Trng Enrollee *,15.0
City Light,Lnwkr,46.27
Seattle Public Utilities,"Truck Drvr,Heavy",31.48
Seattle Information Technology,"Info Technol Prof A,Exempt",64.16
Seattle Center,Stage Tech *,30.42
Fire Department,Fireftr-ParamedTechSr-90.46,49.18
Parks Department,Laborer,22.95
City Light,Elecl Svc Engr,50.83
Seattle Public Utilities,"Trng&Ed Coord,Sr",37.94
Seattle Information Technology,"Info Technol Prof A,Exempt",62.88
Police Department,Pol Ofcr,37.18
Parks Department,Rec Attendant *,15.68
Fire Department,Fireftr-MU-90.46 Hrs,43.62
Seattle Center,Stage Tech *,30.42
Seattle Dept of Transportation,Admin Spec I-BU,23.63
City Light,Equip Svcr,26.66
Civil Service Commissions,Civil Svc Commissioner,5.53
Parks Department,Laborer *,21.6
Parks Department,Maint Laborer,25.39
Police Department,Latent Print Examiner Trne,31.31
City Light,"Elecl Engrng Spec,Sr",48.84
Police Department,Pol Ofcr-Detective-Homicide,49.5
City Light,Elecl Constr&Maint Supv-BU,59.75
City Light,Lnwkr,46.27
Police Department,Pol Ofcr-Hostage Neg-Patrl,49.51
Seattle Information Technology,Info Technol Prof C-BU,43.26
Dept of Finance & Admn Svc,Accountant,34.74
Dept of Finance & Admn Svc,Delivery Wkr,23.18
Parks Department,Tennis Instructor *,21.49
Police Department,Pol Comms Dispatcher I,26.41
Seattle Center,Usher *,15.68
Police Department,Pol Ofcr-Patrl,44.95
City Light,Actg Tech II-BU,26.45
Fire Department,Fireftr-90.46 Hrs,40.39
Parks Department,Tennis Instructor,24.93
Dept of Finance & Admn Svc,Equip Svcr,26.66
Police Department,Pol Lieut,71.16
Seattle Information Technology,Info Technol Prof B-BU,51.76
Seattle Information Technology,Info Technol Prof C-BU,41.95
Seattle Information Technology,Info Technol Prof A *,60.79
Office of Ethics & Elections,Executive2,73.19
Parks Department,Rec Attendant *,15.68
Seattle Dept of Transportation,Installation Maint Wkr *,26.69
Police Department,Admin Spec III-BU,26.45
Seattle Center,Adms Employee,18.58
Dept of Finance & Admn Svc,"Accountant,Prin",39.96
Seattle Center,Laborer *,21.6
Fire Department,Fire Lieut-90.46 Hrs,45.77
Seattle Dept of Transportation,"StratAdvsr2,General Govt",52.51
Seattle Public Utilities,"Civil Engr,Sr",56.96
Parks Department,"Aquatic Cntr Coord,Asst",32.06
Seattle Public Utilities,"Manager2,Utils",60.6
Dept of Finance & Admn Svc,Auto Mechanic,34.93
Seattle Dept of Transportation,"Civil Engr,Sr",52.71
Seattle Public Utilities,Util Act Rep II,32.08
Seattle Information Technology,Info Technol Prof B-BU,53.64
Fire Department,Fireftr-90.46 Hrs,37.88
Seattle Center,Stage Tech *,30.42
Dept of Finance & Admn Svc,"Warehouser,Sr-BU",28.77
Parks Department,Aquatic Cntr Coord,32.71
Seattle Public Utilities,Actg Tech II-BU *,24.5
Seattle Information Technology,Info Technol Prof B-BU,49.83
Police Department,Pol Ofcr-Detective,49.51
Human Services,Counslr,30.78
Seattle Public Utilities,Admin Spec II-BU,26.45
Police Department,Pol Ofcr-Patrl,51.03
City Light,Janitor-FAS/CL,19.53
Police Department,Pol Comms Dispatcher I,26.41
Police Department,Pol Ofcr-Patrl,44.95
Dept of Finance & Admn Svc,Auto Mechanic,34.93
Fire Department,Actg Tech II-BU,26.45
Parks Department,Rec Attendant,17.12
Police Department,Parking Enf Ofcr,29.89
Police Department,Pol Ofcr-Detective,49.51
Police Department,Pol Ofcr- Student,35.56
Seattle Public Utilities,"Manager3,Utils",64.98
City Employees Retirement Syst,Retirement Spec *,29.09
Seattle Public Utilities,"Mgmt Systs Anlyst,Sr",46.8
Seattle Public Utilities,Economist,41.57
Seattle Public Utilities,Wtr Pipe Wkr-WDM I,33.07
Seattle Dept of Transportation,"Mgmt Systs Anlyst,Asst *",31.93
City Light,"Capital Prjts Coord,Sr",53.43
Seattle Public Utilities,Civil Engr Supv,54.97
Seattle Dept of Transportation,Constr&Maint Equip Op,33.1
Fire Department,Fireftr-90.46 Hrs,29.98
City Light,"Civil Engrng Spec,Assoc",40.1
Parks Department,Lifeguard *,16.47
Fire Department,Fireftr-DeconApDrvr-90.46 Hrs,45.42
Parks Department,Lifeguard *,16.47
Seattle Dept of Transportation,"Signal Elctn,Journey-Level",46.5
Fire Department,Fireftr-Dispatcher-84 Hrs,46.39
Parks Department,Laborer *,21.6
Seattle Center,Stage Tech *,30.42
Seattle Information Technology,Admin Spec II,26.45
Seattle Public Utilities,Solid Wst Fld Rep II,37.01
Police Department,Pol Ofcr-Patrl,46.68
Fire Department,Fire Lieut-90.46 Hrs,45.77
Fire Department,Fire Lieut-ParamedTechSr-84,58.76
Seattle Public Utilities,"StratAdvsr2,Exempt",53.32
City Light,Executive2,71.74
City Light,"Pwr Dispatcher,Sr",61.53
City Light,"Elecl Engr,Assoc",45.92
Seattle Center,Executive2,62.09
Police Department,Pol Comms Dispatcher Supv,46.62
Police Department,Pol Ofcr-Motorcycle,49.94
Parks Department,Laborer,21.6
Dept of Finance & Admn Svc,Auto Mechanic,33.58
City Light,Elec-Con Core CC,50.54
City Light,Res&Eval Asst-BU,31.93
Human Services,Human Svcs Coord,29.09
Fire Department,Fireftr-90.46 Hrs,40.39
Parks Department,Lifeguard *,16.47
Parks Department,Rec Leader *,17.52
Seattle Information Technology,Info Technol Techl Support *,24.1
Dept of Finance & Admn Svc,Janitor-FAS/CL,21.03
City Light,Pwr Marketer-BU,44.53
City Light,Admin Spec I-BU,24.5
Parks Department,Rec Attendant *,15.68
Police Department,Pol Ofcr-Patrl,44.95
Arts and Culture,"Accountant,Sr",39.96
Seattle Center,Usher *,15.68
City Light,Hydroelec Maint Mach,44.31
Dept of Finance & Admn Svc,"Accountant,Sr",39.96
Parks Department,Res&Eval Aide *,23.18
Human Services,Human Svcs Coord,32.55
City Light,"MatSup,Elec-Asg Cs &/or Cdt",33.9
Legislative-City Council,"Publc Relations Spec,Sr",39.4
Seattle Dept of Transportation,"StratAdvsr3,Exempt",59.4
Seattle Information Technology,StratAdvsr1 *,40.39
City Light,Lnwkr,46.27
Seattle Dept of Transportation,"Transp Plnr,Asst",34.33
Fire Department,Fireftr-90.46 Hrs,41.11
Seattle Center,Stage Tech *,30.42
City Light,"Manager3,Utils-BU",60.56
Parks Department,Maint Laborer,25.39
Parks Department,"Manager2,Exempt",57.5
Seattle Dept of Transportation,Elecl Maint Hlpr,26.18
Police Department,Pol Ofcr-Patrl,49.29
Parks Department,Rec Attendant *,15.68
Seattle Dept of Const and Insp,Bldg Inspector Supv,45.87
Parks Department,Rec Leader *,17.52
City Light,"Publc Relations Spec,Sr",39.4
Seattle Center,Dining Room Attendant,16.59
Dept of Education & Early Lrng,"StratAdvsr2,Exempt",50.5
Parks Department,Facilities Lead Wkr,27.73
City Light,Elecl Work Rev CC,50.54
Parks Department,Rec Leader,28.14
Seattle Dept of Transportation,Bridge Op,29.68
Police Department,Pol Comms Dispatcher III,38.51
Seattle Information Technology,Info Technol Prof B-BU,55.72
Seattle Public Utilities,Maint Laborer *,25.39
City Budget Office,Executive4,86.83
Seattle Center,Usher *,15.68
Seattle Dept of Transportation,"Bridge Op,Sr",31.32
Seattle Dept of Transportation,Bridge Op *,27.52
City Light,Elecl Pwr Systs Engr,60.59
Seattle Dept of Transportation,Student Engr Intern *,19.53
Seattle Public Utilities,"Constr&Maint Equip Op,Sr",34.75
Dept of Finance & Admn Svc,"Remittance Proc Tech,Sr",26.45
Parks Department,Laborer,21.6
City Light,Meter Reader Supv,33.17
Office of Sustainability & Env,"StratAdvsr2,General Govt",57.73
Seattle Dept of HumanResources,"Mgmt Systs Anlyst,Sr",46.8
Human Services,"Grants&Contracts Spec,Sr",35.93
City Light,"Elecl Engrng Spec,Sr",45.36
Fire Department,Fire Equip Tech,29.58
Parks Department,Rec Cntr Coord,31.47
Seattle Center,Carpenter CC,37.73
Police Department,Pol Ofcr-Detective,50.38
City Auditor,Exec Manager-City Auditor,72.84
Seattle Dept of Const and Insp,Plng&Dev Spec II,39.4
Seattle Public Utilities,Executive2,72.17
Police Department,Pol Ofcr-Patrl,46.68
Seattle Public Utilities,"Truck Drvr,Heavy",31.48
Seattle Dept of Transportation,"Civil Engr,Sr",56.96
Seattle Public Utilities,Actg Tech III-BU,29.09
Police Department,Pol Ofcr-Patrl,46.68
Parks Department,Cashier,17.36
City Light,Electric Util Exec 2,105.0
City Light,Lnwkr,46.27
Seattle Center,Stage Tech *,30.42
Human Services,Counslr,30.78
Seattle Dept of Transportation,"Transp Plnr,Asst *",31.86
City Light,"StratAdvsr2,General Govt",53.42
Fire Department,Fire Lieut-90.46 Hrs,46.49
