Occupation,Weekly_Wage_USD
FIRST-LINE SUPERVISORS OF GAMING WORKERS,769
PERSONAL CARE AIDES,462
RECREATION AND FITNESS WORKERS,555
SALES,716
FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS,711
FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS,1028
CASHIERS,415
RETAIL SALESPERSONS,590
ADVERTISING SALES AGENTS,925
INSURANCE SALES AGENTS,815
"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES AGENTS",1155
"SALES REPRESENTATIVES, SERVICES, ALL OTHER",966
"SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING",1020
REAL ESTATE BROKERS AND SALES AGENTS,837
"SALES AND RELATED WORKERS, ALL OTHER",916
OFFICE,656
FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE SUPPORT WORKERS,812
BILL AND ACCOUNT COLLECTORS,657
"BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS",692
CUSTOMER SERVICE REPRESENTATIVES,621
"HOTEL, MOTEL, AND RESORT DESK CLERKS",481
RECEPTIONISTS AND INFORMATION CLERKS,575
DISPATCHERS,698
POSTAL SERVICE CLERKS,927
POSTAL SERVICE MAIL CARRIERS,954
"PRODUCTION, PLANNING, AND EXPEDITING CLERKS",838
"SHIPPING, RECEIVING, AND TRAFFIC CLERKS",591
STOCK CLERKS AND ORDER FILLERS,520
SECRETARIES AND ADMINISTRATIVE ASSISTANTS,687
DATA ENTRY KEYERS,619
INSURANCE CLAIMS AND POLICY PROCESSING CLERKS,689
"OFFICE CLERKS, GENERAL",620
"OFFICE AND ADMINISTRATIVE SUPPORT WORKERS, ALL OTHER",745
AGRICULTURAL,464
MISCELLANEOUS AGRICULTURAL WORKERS,445
CONSTRUCTION,749
MAINTENANCE,839
PRODUCTION,663
FIRST-LINE SUPERVISORS OF PRODUCTION AND OPERATING WORKERS,875
"ELECTRICAL, ELECTRONICS, AND ELECTROMECHANICAL ASSEMBLERS",554
MISCELLANEOUS ASSEMBLERS AND FABRICATORS,581
BAKERS,505
"BUTCHERS AND OTHER MEAT, POULTRY, AND FISH PROCESSING WORKERS",542
"FOOD PROCESSING WORKERS, ALL OTHER",594
"METAL WORKERS AND PLASTIC WORKERS, ALL OTHER",639
LAUNDRY AND DRY-CLEANING WORKERS,466
"INSPECTORS, TESTERS, SORTERS, SAMPLERS, AND WEIGHERS",710
PACKAGING AND FILLING MACHINE OPERATORS AND TENDERS,518
"PRODUCTION WORKERS, ALL OTHER",625
TRANSPORTATION,646
BUS DRIVERS,615
DRIVER/SALES WORKERS AND TRUCK DRIVERS,747
"LABORERS AND FREIGHT, STOCK, AND MATERIAL MOVERS, HAND",526
"PACKERS AND PACKAGERS, HAND",438
